Equipo 1,Cant. goles 1,Cant. goles 2,Equipo 2
Argentina,1,2,Arabia Saudita
Mexico,0,0,Polonia
Polonia,2,0,Arabia Saudita
Argentina,2,0,Mexico
Polonia,0,2,Argentina
Arabia Saudita,1,2,Mexico
